text,true_label,predicted_label,probability,label_confidence,margin_to_threshold
"I have read the 28 most recent comments by various people regarding this movie and was surprised that no one mentioned the fact that the first victim, shown on the bed with the ""missing eyelids"", as the camera pans up and away from her face, blinks! Yes, BLINKS! I recorded it as it came on HBO this past weekend and when I saw this I literally had to replay it several times, focusing on one eye at a time to make sure that I was not seeing things! Of course, after that, it was hard to take the movie seriously although there were a few interesting and intense scenes with Julian Sands. Very disappointed and give it a 4 mostly due to the fact that the 1st victim blinks in one of the last frames as the camera pulls away from the body/face. Too bad.",negative,positive,0.460051,0.460051,5.1e-05
"Black Scorpion is Roger Cormen's Batman. Which is cool and there is a lot of cool stuff in this movie. Like the Breathtaker being a cross between Doctor Doom and Darth Vader, that's kind of cool. The mind control gas in the inhalers was worthy of the Mad Hatter. The Cormen B-movie style is all over this puppy which is not always a good thing. There are plenty of stunts and hot babes to make any action fan happy. This movie, the good out weighs the bad. But if you aren't one for comic book movies, then I would advise not watching Black Scorpion, however if you like comic book like movies and don't care if it was ever a comic before. Then check out BLACK SCORPION, as for me I give it 8 STARS.",positive,negative,0.459902,0.540098,9.8e-05
"Aaah...The Thing.<br /><br />To see a horror film in which not only is every character over the age of thirty, but distinctly UNattractive, makes a refreshing change, and reminds me of those distant times when actors were chosen because of their talent and their ability to play realistic characters, rather than because of their teen appeal on a magazine cover. And Carpenter chooses a production designer and a cinematographer who can actually create realistic environments rather than over-styled parodies. And there's no gimmicky 'twist' ending, or cameo celebrity appearance, or lame pseudo-romantic subplot.<br /><br />And I REALLY miss on-set physical effects; with all those 20 year old kids trying out crazy new ideas with vats of blood and latex and early animatronics. In the 5 years between 1979 and 1984 we saw Alien, The Elephant Man, Poltergeist, The Howling, An American Werewolf in London, The Thing, The Company of Wolves, A Nightmare on Elm Street...what an era for horror effects! And don't get me started on the death of matte painting. The matte work in this movie is beautiful and seamless.<br /><br />What do we have now? Third rate CGI, former music video directors and professional stylists, that makes even 'gritty' horror movies look like glossy MTV videos.<br /><br />Now I'm going to go Netflix 'The Howling'.",positive,positive,0.460141,0.460141,0.000141
"1956 was the 20th Congress of the Communist Party and the Soviet Premier Krushchev made a speech denouncing Stalin and the Stalinist purges and the gulag labor systems, revealing information that was previously forbidden, publicly revealing horrible new truths, which opened the door for a new Soviet Cinema led by Mikhail Kalatozov, once Stalin's head of film production. This film features a Red Army that is NOT victorious, in fact they are encircled, in a retreat mode, with many people dying, including the hero, in a film set after 06-02-41, the German invasion of Russia when Germany introduced the Barbarossa Plan, a blitzkrieg invasion intended to bring about a quick victory and the ultimate enslavement of the Slavs, and very nearly succeeded, actually getting within 20 miles of Moscow in what was a Red Army wipe out, a devastation of human losses, 15 to 20 million Russians died, or 20% of the entire population. Historically, this was a moment of great trauma and suffering, a psychological shock to the Russian people, but the Red Army held and prolonged the war 4 more years until they were ultimately victorious. <br /><br />During the war, Stalin used the war genre in films for obvious morale boosting, introducing female heroines who were ultra-patriotic and strong and idealistic, suggesting that if females could be so successful and patriotic, then Russia could expect at least as much from their soldiers. Stalin eliminated the mass hero of the proletariat and replaced it with an individual, bold leader who was successful at killing many of the enemy, an obvious reference to Stalin himself, who was always portrayed in film as a bold, wise and victorious leader. But Kalatozov changed this depiction, as THE CRANES ARE FLYING was made after Stalin's death, causing a political thaw and creating a worldwide sensation, winning the Cannes Film Festival Palm D'Or, as well as the Best Director and Best Actress (Tatyana Samoilova), reawakening the West to Soviet Cinema for the first time since Eisenstein's IVAN THE TERRIBLE in the 40's. <br /><br />This film featured brilliant, breathtaking, and extremely mobile camera work from his extraordinary cinematographer Sergei Uresevsky, using spectacular crane and tracking shots, images of wartime, battlefields, Moscow and crowded streets that are extremely vivid and real. Another brilliant scene features the lead heroine, Veronica, who hasn't heard from her lover, Boris, in the 4 years at war, so he is presumed dead, but she continues to love him, expressed in a scene where she runs towards a bridge with a train following behind her, a moment when the viewer was wondering if she might throw herself in front of that train, instead she saves a 3 yr old boy named Boris who was about to be hit by a car. Another scene captures the death of Boris on the battlefield, who dies a senseless death, and his thoughts spin and whirl in a beautiful montage of trees, sky, leaves, all spinning in a kaleidoscope of his own thoughts and dreams, including an imaginary wedding with Veronica. This film features the famous line, ""You can dream when the war is over."" In the final sequence, when the war is over, the soldiers are returning in a mass scene on the streets, Veronica learns Boris died, all are happy and excited with the soldier's return, but Veronica is in despair, passing out flowers to soldiers and strangers on the street in an extreme gesture of generosity and selflessness revealing ""cranes white and gray floating in the sky."" <br /><br />The film was released in 1957 in Russia, and according to some reviews, ""the silence in the theater was profound, the wall between art and living life had fallen...and tears unlocked the doors."" <br /><br /> <br /><br />",positive,positive,0.460194,0.460194,0.000194
"<br /><br />In Japan and elsewhere in Europe new technology is enabling filmmakers to bypass the closed shop of the Hollywood mainstream and avoid Ed Wood like visible low budget production values to produce compelling films. What a shame that in the UK we can find examples such as 'Avatar' (name of many a video game) where brain dead attempts are made to imitate so many films - and console games beloved of girlfriendless teens - that themselves are cheap photocopies of clichés abound like testosterone fuelled kangaroos. Check out a bit of the synopsis:<br /><br />""Set in futuristic London, 2024, it tells the story of a Team of Virtual Reality Virus Exterminators faced against the ultimate Internet virus.""<br /><br />Go back and read that quote again - avoid guffawing - and try to find a single original idea in it. This should have seemed a tired, sad concept in 1993, never mind 2003. Ah, but there is more - the 'ultimate virus' has already caused planes to crash, infected the air traffic control centre, etc. It has been developed by a 'child genius' and manifests itself as a scantily clad, athletic, mammary jiggling discount Lara Croft imitator who does a great line in snarling and cod martial arts moves straight out of the playground - the living product of adolescent fantasy. Oh, and she is accompanied by 'Predator' like sound effects to emphasise her remarkable powers.<br /><br />The whole thing has a 'futuristic' vision of stunning originality - the Lloyds building filtered with AfterEffects to look somewhat green. The budget does really show - which in this day and age should not. On the whole, a pointless mess of cheese, ham and cliché that Roger Corman would have left on the cutting room floor in his most shameless, desperate moments. Shame that such an alleged labour of love delivered nine minutes of wasted celluloid.<br /><br />",negative,positive,0.460259,0.460259,0.000259
"Armored<br /><br />The best part about driving an armored vehicle is that if any bums approach you at a red light asking for money, you can shoot them in the face.<br /><br />And while the armoured guards in this thriller aren't using their protective power to purge the drifter population, they are using their position to fleece their employer.<br /><br />When newcomer Ty (Columbus Short) lands a job with an armored trunk company, he feels like he has found his lot in life. Unfortunately, however, when he discovers that his co- workers (Matt Dillon, Jean Reno and Laurence Fishburne) are plotting to take the $42 M shipment for themselves, Ty must fortify himself  and the funds  inside the armored truck.<br /><br />A tedious caper with a plodding plot and phoned-in performances, Armored is an utterly forgettable film.<br /><br />Besides, if you really want to jack millions, it's a lot simpler to just disguise yourself as an ATM. (Red Light)",negative,negative,0.459675,0.540325,0.000325
"Walt Disney's 20th animated feature was the last one to be greenlighted by the great man himself (he died in late 1966) and is not generally considered to be among their very best output. The main problem is that, on the surface, the film seems merely to be the feline version of either LADY AND THE TRAMP (1955) or 101 DALMATIONS (1961) both of which are certainly more beloved by fans Even so, being both an animation and cat lover, I dug this reasonably bouncy concoction in which a pampered female cat (voiced by Eva Gabor) and her three little kittens are thrown out onto the streets of Paris by a wealthy lady (Hermione Baddeley)'s greedy butler. Luckily, they meet a streetwise alley cat (Phil Harris) who guides them on the journey back and are further aided along the way by a feline jazz band (led by Scatman Crothers) and two helpful and amiably dopey dogs; meanwhile at home, Edgar the butler celebrates his supposed inheritance and the mouse and the horse do their bit to help their fellow feline pets. Legendary entertainer Maurice Chevalier was whisked back from retirement to sing the title song (which includes a verse in French) and Scatman's band indulge in a breezy number ""Ev'rybody Wants To Be A Cat"".",positive,positive,0.460354,0.460354,0.000354
"Perhaps if only to laugh at the way my favorite of Jane Austen's works has been portrayed. Perhaps I am too severe on this adaptation, but I'm afraid I am biased to the A&E version. I have a hard time imagining Mr. Darcy portrayed by anyone other than Colin Firth.<br /><br />The characters seemed shallow, and often dialogue forced. Lizzy seemed to lack the real feeling that is so evident in the book. Her fancy for Wickham was overplayed, and then her sudden like for Darcy was not believable.<br /><br />Darcy was portrayed tolerably well, I will grant him. He managed to maintain the aloofness that is required, but I felt he did not project the feeling and inner struggle that makes his character so delightful, especially in the proposal scene.<br /><br />Mr. and Mrs. Bennet were also played well, but seemed lacking in many ways. The mean temper of Mrs. Bennet was not completely captured in her performance.<br /><br />Mr. Collins' was a good portrayal. Very much in line with the book.<br /><br />I will refrain from commenting on Lady Catherine except to say that she is possibly the worst portrayal in the entire film.<br /><br />Other problems I saw were the few liberties they took with the order of events such as Darcy being present at the first meeting with Lady C., and also that Miss Lucas and Sir William did not join Lizzy on her visit to the Collins'.<br /><br />The choreography was dreadful during the dancing scenes. The scene where Lizzy and Darcy dance loses much of its intensity because one cannot get past the feeling that they look akward on the ballroom floor. At least this BBC version left out the dialogue between Lizzy, Darcy and Sir William when he commends the two on their dancing, as they performed very ill indeed.<br /><br />There were occasional moments that it kept me interested, but overall I find this version to be a disappointment. I would not advise this film unless you're like me, and you are excessively diverted by such follies.<br /><br />",negative,positive,0.460358,0.460358,0.000358
"Lemuel Gulliver (Ted Danson) is a doctor who goes missing at sea, leaving pregnant wife Mary (Mary Steenburgen) behind. Eight years later, he turns up, disheveled and seemingly mad - babbling about his adventures in the lands of the tiny Lilliputians, the giant Brobdingnags, the floating island of the intellectual Laputa, and the Houyhnhnms, a race of intelligent, talking horses who have to deal with the Yahoos - a race of bestial humans - among many other adventures. The not-so-good Dr. Bates (James Fox), who has designs on Lemuel's wife, has Gulliver incarcerated in a mental institution, and Lemuel, Mary, and son Thomas (Tom Sturridge) must find a way to prove his sanity.<br /><br />A splendid adaptation of Jonathan Swift's satirical novel, this film is a magnificent adaptation on so many levels: the story, the satire, the characters, the visuals, the brilliant cast. It's simply a treat to watch, and it's almost amazing considering that it was a made-for-TV film.<br /><br />The film does a brilliant job of capturing Swift's vicious satire, which cuts like a hatchet through British society of the time, but still resonates today. The wise Brobdingnags and the Houyhnhnms are almost perfect individuals who find it virtually impossible to understand why Gulliver speaks with such pride of the vices and corruptions of his society. The scenes where Gulliver struggles to prove himself different from the Yahoos are perhaps the best, with biting satire in describing how they pick their leaders (""they seem to pick the worst among them. . . who rules until they find someone even worse""), go to war (""We only go to war for a very good reason - such as they are weaker than us, or we want all of their land""), etc. The scenes involving Laputa are also effectively done - the intellectuals are so wrapped up in their specialized fields that they have no time for anything else, and really possess little common sense. And the addition of the asylum plot line enhances the story greatly - Dr. Bates is truly nasty character, and when he gives a speech to the inquiry on Gulliver's alleged vices, it's quite clear that he's describing his own faults.<br /><br />The film makes use of beautiful, and fairly convincing CGI effects depicting the very diverse settings of the novel with great effect. The contrast of sizes is done in a very skillful way, and all of the worlds depicted in the story are convincing in their own way. The cinematography (particularly that concerning the asylum) and the costumes are brilliantly done. The editing of the present with Lemuel's memories is a device which could be awkward, but works very well.<br /><br />The cast is truly wonderful; a veritable who's-who of British and American talent. Ted Danson gives an excellent, multi-layered performance as Gulliver, showing effectively his transformation from a person bewildered by his strange surroundings, to the lunatic state he was in when he reappears, to his rational, intellectual personality at the end. Most well-known for his work on sit-com, Danson shows that he's more than just Sam Malone with this wonderful serio-comic performance. Mary Steenburgen is effective as his wife, and James Fox is absolutely repulsive as Bates. The rest of the cast is made up mostly of cameos, with Peter O'Toole, Omar Sharif, Warwick Davis, Kristin Scott Thomas, Geraldine Chaplin, Alfre Woodward, Edward Fox, and Sir John Gielgud being the most memorable - but even the smallest parts are very well-played.<br /><br />While not 100% faithful to the book, ""Gulliver's Travels"" is a triumph of story and images. It's not to be missed.<br /><br />9/10",positive,negative,0.459569,0.540431,0.000431
"Every once in a while, an indie comes along that has an awesome cast and a story that sounds really interesting and can't-miss, but the movie sucks. Some recent films belonging to this unfortunate category are ""Levity"" and ""The Safety Of Objects"", and now here's ""The United States Of Leland"".<br /><br />Said awesome cast includes Ryan Gosling, Kevin Spacey, Don Cheadle, Jena Malone, Lena Olin, Michelle Williams, Chris Klein, and Kerry Washington. Gosling plays Leland P. Fitzgerald, the teenage son of a famous author (Spacey) who commits a disturbing and unforgivable crime (murdering a retarded child), but doesn't remember it and doesn't seem to have any sort of motive. <br /><br />Don Cheadle plays a teacher in juvenile hall who is trying to understand Leland (and also exploit him by writing a book about him), and Jena Malone is his ex-girlfriend. We see their deteriorating relationship (due to her heroin addiction) in flashback. Sounds like an awesome little drama, huh? I thought so, too. <br /><br />The fact is that this movie is just badly, badly written. The dialogue and narration are painfully pretentious and laden with irritating platitudes about ""life"", the characters are all two-dimensional indie cliches, and while it does manage to make Leland sympathetic in some ways, it glosses over his crime. <br /><br />For the most part, there's no problem with the acting. Gosling (who was Oscar-worthy in ""The Believer"") is a tremendously talented young actor, but the way they're written, none of these characters (least of all Leland) even feel like real people, so there's not much he can do but mumble his ridiculous lines and look sad. <br /><br />Jena Malone is the most memorable. She has one of the most expressive faces I've ever seen. Even playing an underwritten character in a bad movie like this, she can break your heart with one look. When she's got good material to work with (as in ""Donnie Darko"" or ""The Dangerous Lives Of Altar Boys""), she's really amazing. <br /><br />But this is not good material. Maybe after a massive rewrite it could have been something worthwhile, but as it is, ""The United States Of Leland"" is ponderous, inert, and for a movie that seems in love with how ""deep"" it is, it's really shallow.",negative,positive,0.460635,0.460635,0.000635
