text,true_label,predicted_label,probability,label_confidence,margin_to_threshold
"This movie was pure genius. John Waters is brilliant. It is hilarious and I am not sick of it even after seeing it about 20 times since I bought it a few months ago. The acting is great, although Ricki Lake could have been better. And Johnny Depp is magnificent. He is such a beautiful man and a very talented actor. And seeing most of Johnny's movies, this is probably my favorite. I give it 9.5/10. Rent it today!",negative,positive,0.99993,0.99993,0.53993
This is definitely one of the best Kung fu movies in the history of Cinema. The screenplay is really well done (which is not often the case for this type of movies) and you can see that Chuck (in one of his first role)is a great actor. The final fight with the sherif deputy in the bullring is a masterpiece!,negative,positive,0.999852,0.999852,0.539852
"This film has the language, the style and the attitude down ... plus greats rides from Occy (a world champ) and the great Jerry Lopez. John Philbin as Turtle has the surf pidgin down, and the surfing scenes are still the best ever. A true classic that can be seen many times. Nia Peeples is a babe, and Laird Hamilton shows the early stuff that has made him the world's number one extreme surfer.",negative,positive,0.999732,0.999732,0.539732
"I really liked this quirky movie. The characters are not the bland beautiful people that show up in so many movies and on TV. It has a realistic edge, with a captivating story line. The main title sequence alone makes this movie fun to watch.",negative,positive,0.999644,0.999644,0.539644
"When the movie first started I thought cheesy. The first ten minutes were really boring. After the slow beginning and some of the soap opera antics, I started liking it. The plot was different than anything I had ever seen. Now, was it a horror? Not really. It shouldn't have been classied as a horror or the producers should have put more money into the movie to make it scary. As it was, the creatures where only there for a short time. I can only assume this was for money reason.<br /><br />The good side was that the movie was very entertaining. It held my interest (after the start) and did make me wonder about creatures from another dimension.<br /><br />It was obvious that this was a first time movie for the director, but there were a couple of highlights. By the end, I was hooked. Too bad Hollywood didn't put more money behind this.",positive,negative,0.000384,0.999616,0.459616
black tar can't be snorted there's a documentary: dark end of the street about s.f. street punks and b.t. abuse - not bad - quite heavy. in wasted there's this stuff that looks like coke but should be something else... no big deal. black tar can't be snorted there's a documentary: dark end of the street about s.f. street punks and b.t. abuse - not bad - quite heavy. in wasted there's this stuff that looks like coke but should be something else... no big deal. black tar can't be snorted there's a documentary: dark end of the street about s.f. street punks and b.t. abuse - not bad - quite heavy. in wasted there's this stuff that looks like coke but should be something else... no big deal.,positive,negative,0.000409,0.999591,0.459591
"I am listening to Istanbul, intent, my eyes closed: At first there is a gentle breeze And the leaves on the trees Softly sway; Out there, far away, The bells of water-carriers unceasingly ring; I am listening to Istanbul, intent, my eyes closed.<br /><br />I am listening to Istanbul, intent, my eyes closed; Then suddenly birds fly by, Flocks of birds, high up, with a hue and cry, While the nets are drawn in the fishing grounds And a woman's feet begin to dabble in the water. I am Iistening to Istanbul, intent, my eyes closed.<br /><br />I am listening to Istanbul, intent, my eyes closed. The Grand Bazaar's serene and cool, An uproar at the hub of the Market, Mosque yards are full of pigeons. While hammers bang and clang at the docks Spring winds bear the smell of sweat; I am listening to Istanbul, intent, my eyes closed.<br /><br />I am listening to Istanbul, intent, my eyes closed; Still giddy from the revelries of the past, A seaside mansion with dingy boathouses is fast asleep. Amid the din and drone of southern winds, reposed, I am listening to Istanbul, intent, my eyes closed.<br /><br />I am listening to Istanbul, intent, my eyes closed. A pretty girl walks by on the sidewalk: Four-letter words, whistles and songs, rude remarks; Something falls out of her hand It is a rose, I guess. I am listening to Istanbul, intent, my eyes closed.<br /><br />I am listening to Istanbul, intent, my eyes closed. A bird flutters round your skirt; On your brow, is there sweat? Or not? I know. Are your lips wet? Or not? I know. A silver moon rises beyond the pine trees: I can sense it all in your heart's throbbing. I am listening to Istanbul, intent, my eyes closed.<br /><br />FOR YOU<br /><br />For you, my fellow humans, Everything is for you, Nights are for you, days are for you; Daylight is for you, moonlight is for you; Leaves in the moonlight; Wonder and wisdom in the leaves, Myriad greens in daylight, Yellow is for you, and pink. The feel of the skin on the palm, Its warmth, Its softness, The comfort of lying down; For you are all the greetings And the masts winnowing in the harbor; Names of the days, Names of the months, Fresh paint on rowboats is for you Mailman's feet, Potter's hands Sweat on foreheads, Bullets fired on battlefronts; Graves are for you and tombstones, Jails and handcuffs and death sentences Are for you Everything is for you.<br /><br />SEA NOSTALGIA<br /><br />Vessels sail along my dreams, Over the roofs, ships in a feast of color, And poor me, Yearning for the sea year in year out, I gaze and weep. I recall my first sight of the world Through a mussel shell I pried open: The greenest water and the bluest sky And the rippliest of lump-fish... My blood still flows salty Where the oysters slit my skin. What a mad speed plunge was ours Into the high seas on the whitest foam! Foam bears no malice, Like lips Whose adultery with men Is no disgrace.<br /><br />Vessels sail along our dreams Over the roofs, ships in a feast of color, And poor me, Yearning for the sea year in year out.<br /><br />-- Orhan Veli<br /><br />I could not have said anything better than what Orhal Veli Kanik said about Istanbul. About this movie, all I have is praise. A very nice and balanced introduction to a city and its music that connected Asia, Europe and Africa at one point of time.",positive,negative,0.000454,0.999546,0.459546
"Lois Weber's film ""Hypocrites"" was and still kind of is a very bold and daring film. I enjoyed it and was very impressed by the filming and story of it. The priest sees the hypocrisy of the people in his church and tries to show them the ""naked"" truth. The people are appalled when he reveals the naked statue portraying truth, after failing to lead them to it and the few that did, help along the way. The people do not want to face the truth that they are doing anything wrong, but it shows them putting things before God, going to beach parties acting inappropriate, their materialistic ways, and other things in which the people of our world do that tend to not be morally right. In the end, failing to gain any followers, he must enter into the gates of heaven alone. This film seems to me to be very bold, in the fact that a naked woman is shown throughout it, especially considering the time period in which this film was made. The imagery and symbolism portrayed in this movie I found incredible. The way they made the naked woman translucent and using a naked woman to symbolize the naked truth shows a lot of creativity and art. Showing the different sins of the people as they walked down the road and refused to follow along the path, each with different excuses, setbacks, and/or higher priorities, was a great way of representing the people of today. This film does a very good job of getting the moral message across to its audience. Lois Weber has a tremendous way of capturing her spectators' attention with her creativity, symbolism, visuals, and through auditory. Even the music of the piano throughout this film is very beautiful and fitting with the whole theme.",negative,positive,0.999296,0.999296,0.539296
"If Daphne Du Maurier had set REBECCA in 1950s San Francisco, it might very well resemble this uptight, highly unusual noir from Robert Wise. Valentina Cortese plays a concentration camp survivor who steals the identity of a dead woman and insinuates herself into the life of Richard Basehart (who happens also to be the guardian of the dead woman's son)...it's absurd and over-the-top but also topflight entertainment. Cortese is terrific, slowly falling apart as she realizes the mistake she's made. Basehart is fine if a bit bland...although the lighting toward the end makes him appear very menacing. Fay Baker makes a very good Mrs. Danvers-like caretaker. Wise is a fine director and he keeps things moving at a pretty brisk clip. He also stages a now classic out of control car crash with Cortese (or at least a stunt Cortese) at the wheel.",negative,positive,0.99926,0.99926,0.53926
"""Traffik 1989"" is an Emmy award winning six part miniseries out of the UK which was the inspiration for the Oscar winning ""Traffic 2000"". The five hour film breaks down the opium/heroine trade for the viewer from the handcasting of poppy seeds in an Afghanistan field to the ""head rush"" of a mainlining junkie in a flat in England. Not only does ""Traffik"" offer entertainment value through interleaved dramatic stories it also provides an overview of the international drug trade at all levels answering the who, where, how, and why questions of the age old and unstoppable narcotic supply/demand machine. Synergistically entertaining and educational, ""Traffik"" will prove to be time well spent for teens and up. (A)",positive,negative,0.000901,0.999099,0.459099
